"","run_id","stress","stable","block_no","block","trial_no","b1","b2","b3","b4","resp","advantageous","switch"
"1",26,"no","no","b04","1",1,-10,13,44,-21,1,0,NA
"2",26,"no","no","b04","1",2,11,11,26,-14,1,0,0
"3",26,"no","no","b04","1",3,0,2,20,0,2,0,1
"4",26,"no","no","b04","1",4,3,14,-4,-22,2,1,0
"5",26,"no","no","b04","1",5,21,20,9,-46,3,0,1
"6",26,"no","no","b04","1",6,50,35,26,-66,3,0,0
"7",26,"no","no","b04","1",7,40,26,7,-80,2,0,1
"8",26,"no","no","b04","1",8,34,11,14,-80,4,0,1
"9",26,"no","no","b04","1",9,52,27,5,-80,4,0,0
"10",26,"no","no","b04","1",10,46,35,23,-80,4,0,0
"11",26,"no","no","b04","1",11,2,31,2,-57,2,1,1
"12",26,"no","no","b04","1",12,-16,38,24,-80,2,1,0
"13",26,"no","no","b04","1",13,10,37,37,-76,3,0,1
"14",26,"no","no","b04","1",14,-3,34,45,-53,1,0,1
"15",26,"no","no","b04","1",15,-18,35,73,-51,1,0,0
"16",26,"no","no","b04","1",16,-7,34,29,-59,2,1,1
"17",26,"no","no","b04","1",17,-26,37,23,-69,2,1,0
"18",26,"no","no","b04","1",18,-33,42,7,-53,2,1,0
"19",26,"no","no","b04","1",19,-57,27,-18,-40,3,0,1
"20",26,"no","no","b04","1",20,-66,57,-5,-15,2,1,1
"21",26,"no","no","b04","1",21,-80,56,7,-22,2,1,0
"22",26,"no","no","b04","1",22,-74,69,13,-56,2,1,0
"23",26,"no","no","b04","1",23,-48,80,-1,-64,2,1,0
"24",26,"no","no","b04","1",24,-56,58,-3,-80,2,1,0
"25",26,"no","no","b04","1",25,-15,44,39,-80,2,1,0
"26",26,"no","no","b04","1",26,-29,53,-8,-80,0,0,1
"27",26,"no","no","b04","1",27,-26,26,-27,-50,2,1,1
"28",26,"no","no","b04","1",28,-16,19,-32,-50,2,1,0
"29",26,"no","no","b04","1",29,-2,31,-24,-59,3,0,1
"30",26,"no","no","b04","1",30,4,21,-7,-79,2,1,1
"31",26,"no","no","b04","1",31,36,6,-3,-78,2,0,0
"32",26,"no","no","b04","1",32,30,-13,2,-66,2,0,0
"33",26,"no","no","b04","1",33,28,18,-16,-56,2,0,0
"34",26,"no","no","b04","1",34,30,-19,-17,-80,2,0,0
"35",26,"no","no","b04","1",35,48,-45,-5,-67,2,0,0
"36",26,"no","no","b04","1",36,46,-35,0,-33,1,1,1
"37",26,"no","no","b04","1",37,77,-27,-6,-2,2,0,1
"38",26,"no","no","b04","1",38,80,-30,3,14,1,1,1
"39",26,"no","no","b04","1",39,47,-18,-12,20,1,1,0
"40",26,"no","no","b04","1",40,70,-41,-36,48,1,1,0
"41",26,"no","no","b04","1",41,67,-14,-47,57,3,0,1
"42",26,"no","no","b04","1",42,42,-25,-45,74,0,0,1
"43",26,"no","no","b04","1",43,23,-48,-25,39,1,0,1
"44",26,"no","no","b04","1",44,17,-61,-52,27,1,0,0
"45",26,"no","no","b04","1",45,16,-75,-52,30,1,0,0
"46",26,"no","no","b04","1",46,5,-48,-56,21,2,0,1
"47",26,"no","no","b04","1",47,23,-51,-65,19,1,1,1
"48",26,"no","no","b04","1",48,-1,-76,-80,24,1,0,0
"49",26,"no","no","b04","1",49,19,-52,-59,30,1,0,0
"50",26,"no","no","b04","1",50,34,-60,-31,27,1,1,0
"51",26,"yes","no","b03","2",1,-20,27,-26,37,1,0,NA
"52",26,"yes","no","b03","2",2,-33,41,-14,54,2,0,1
"53",26,"yes","no","b03","2",3,-43,45,-25,40,2,1,0
"54",26,"yes","no","b03","2",4,-76,47,-7,33,2,1,0
"55",26,"yes","no","b03","2",5,-73,32,23,11,2,1,0
"56",26,"yes","no","b03","2",6,-68,16,14,3,2,1,0
"57",26,"yes","no","b03","2",7,-64,39,14,7,4,0,1
"58",26,"yes","no","b03","2",8,-58,32,38,-4,0,0,1
"59",26,"yes","no","b03","2",9,-46,17,32,-21,4,0,1
"60",26,"yes","no","b03","2",10,-9,7,42,-14,2,0,1
"61",26,"yes","no","b03","2",11,-31,16,55,-25,3,1,1
"62",26,"yes","no","b03","2",12,-43,16,70,-24,3,1,0
"63",26,"yes","no","b03","2",13,-21,10,53,-38,3,1,0
"64",26,"yes","no","b03","2",14,10,-18,30,-13,3,1,0
"65",26,"yes","no","b03","2",15,21,5,22,7,3,1,0
"66",26,"yes","no","b03","2",16,-2,3,17,12,3,1,0
"67",26,"yes","no","b03","2",17,-38,-3,25,1,3,1,0
"68",26,"yes","no","b03","2",18,-43,-12,20,2,3,1,0
"69",26,"yes","no","b03","2",19,-67,-7,23,20,2,0,1
